"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","ws_m_support","ws_m_drift","start_flight","end_flight","sunrise","sunset","as_sp","gs_sp","ws_sp","dist_sp","ws_sp_support","ws_sp_drift","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff","gdl_id"
"1",1,2,8,38.445457668183,9.80433785826891,48.7564526504906,11.3718581770827,11.3818071751601,4.58969030482466,390.051621203925,90.9748654166614,10.5492087548914,4.27314043979933,2020-09-16 18:00:00,2020-09-17 02:00:00,2020-09-17 04:57:02,2020-09-16 18:04:51,41.7602190404371,55.9364001350121,16.8819022463474,447.491201080097,14.927342349377,7.88499041468833,1326.74646659445,3692.91113281278,2564.96209799605,2572.32275487206,6009.80342339111,2670.59193770957,"26IM"
"2",2,3,3,34.2681436370798,16.0519178962775,32.5759051727659,16.5724946922883,9.20590429955645,2.76228625181147,97.7277155182976,49.7174840768649,-0.435404578682623,9.19560203714005,2020-09-17 18:30:00,2020-09-17 21:30:00,2020-09-18 04:59:50,2020-09-17 18:19:48,33.3231821450848,28.5708249424334,9.71276697589532,85.7124748273001,-3.49665416483183,9.0615259189392,385.990928208153,4120.37014186927,2709.45516440951,3248.99086283598,6424.8418950033,2690.46268134218,"26IM"
"3",3,4,0.5,32.7188424359456,21.2919293499603,34.8857856954196,26.6500721856795,10.3170755134223,4.34667112727208,17.4428928477098,13.3250360928397,3.62522206890378,9.65918278638476,2020-09-18 20:30:00,2020-09-18 21:00:00,2020-09-19 05:01:59,2020-09-18 18:18:19,30.1576695143123,40.3548027527669,10.4985213726994,20.1774013763835,10.2744155481768,2.15762280216214,265.884562175416,857.015596569485,561.45007937245,561.45007937245,591.131034394068,0,"26IM"
"4",4,5,1,31.022737731728,14.7853347166246,29.0391870691623,21.8307572160391,20.1887892239414,10.3419456205252,29.0391870691623,21.8307572160391,4.96658771659058,19.56834731862,2020-09-19 21:00:00,2020-09-19 22:00:00,2020-09-20 05:05:18,2020-09-19 18:17:27,30.2025622343851,49.0584331471386,19.0935157283649,49.0584331471386,18.9477865571428,2.35451214782921,47.8697721909943,360.140363341755,200.937384187556,194.80201702992,312.27059115076,0,"26IM"
"5",5,6,9,47.301932167635,20.4234576729127,41.6727662547386,19.8264342081322,8.50021185043023,4.05071828894774,375.054896292647,178.43790787319,-5.14244405263751,6.76822507513511,2020-09-21 18:30:00,2020-09-22 03:30:00,2020-09-22 05:17:40,2020-09-21 18:15:36,34.4182458953473,32.1422914860905,5.79061088862757,289.280623374814,-1.83492788812743,5.4921957456799,48.7309905640151,2092.52184068597,1004.09670173931,832.275145430793,6471.31571015772,2843.88577764547,"26IM"
"6",6,7,8,48.4499196167808,23.1703361804136,39.6431480768929,24.5635653394054,14.5378758574976,5.34276895818085,317.145184615143,196.508522715243,-7.11933479504709,12.6753661297827,2020-09-22 18:30:00,2020-09-23 02:30:00,2020-09-23 05:25:29,2020-09-22 18:21:43,37.6685495202288,29.02754752605,14.3407412611647,232.2203802084,-6.38469797230586,12.8410471427413,478.83170891632,2430.86508403868,1128.63483451397,1026.73891652877,4800.98032421353,2482.76671821195,"26IM"
"7",7,8,0.5,33.7516659137441,16.0030707901665,28.9638749072644,33.8061021755051,29.3708077133793,6.71052879724416,14.4819374536322,16.9030510877526,9.70822179745572,27.7199346187488,2020-09-23 19:00:00,2020-09-23 19:30:00,2020-09-24 05:26:26,2020-09-23 18:25:15,30.8222804695571,0,30.8222804695571,0,NA,NA,443.833071837416,2417.10139094307,1430.46723139024,1430.46723139024,1973.26831910565,0,"26IM"
"8",8,9,9,41.9702959745005,12.1641988635817,64.935637672594,18.1055921574537,31.095416138408,10.7557068671187,584.420739053346,162.950329417083,26.3496003368292,16.5113133005869,2020-09-25 18:30:00,2020-09-26 03:30:00,2020-09-26 05:21:23,2020-09-25 18:21:58,32.2947361046752,55.9686819041796,24.7883294940488,503.718137137617,24.1564082012465,5.5614046715091,4.16274138999245,2646.09326835048,1024.51076473512,1066.95581939218,7424.9010941141,4324.18019952968,"26IM"
"9",9,10,0.5,31.9075670422919,14.9613642377133,45.9317797116344,23.5969325998416,36.2154509754813,4.87708832075458,22.9658898558172,11.7984662999208,26.1604760077316,25.0437294428443,2020-09-26 21:00:00,2020-09-26 21:30:00,2020-09-27 05:21:09,2020-09-26 18:11:23,16.8324874627679,45.4348563396597,34.7400015449862,22.7174281698299,32.8807163098571,11.2127696086357,1217.41514295674,1908.99522096895,1563.20518196285,1563.20518196285,691.580078012207,0,"26IM"
"10",10,11,10,46.0670065491962,10.7067612910132,73.3456435922854,9.84524085356338,28.9016778974278,2.44320463949883,733.456435922854,98.4524085356338,27.9002346042541,7.54214122873924,2020-10-05 18:00:00,2020-10-06 04:00:00,2020-10-06 05:32:54,2020-10-05 17:57:39,37.4990338301019,68.0142252730365,31.0698054088202,680.142252730365,30.7662852340194,4.33226280838438,557.576490563003,1784.49231528962,1057.22308044098,935.030686872796,2663.64283073668,1093.04681285638,"26IM"
